resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"inca","ucsd-sierra","nimbus-clientStatus","5302498","5302497","5302286","2012-04-12T11:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5302856","5302497","5302286","2012-04-12T12:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5303196","5302497","5302286","2012-04-12T13:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5303532","5302497","5302286","2012-04-12T14:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5303871","5302497","5302286","2012-04-12T15:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5304220","5302497","5302286","2012-04-12T16:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5304558","5302497","5302286","2012-04-12T17:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5304893","5302497","5302286","2012-04-12T18:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5305232","5302497","5302286","2012-04-12T19:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5305572","5302497","5302286","2012-04-12T20:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5305904","5302497","5302286","2012-04-12T21:37:05.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5306253","5302497","5302286","2012-04-12T22:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5306589","5302497","5302286","2012-04-12T23:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5306924","5302497","5302286","2012-04-13T00:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5307272","5302497","5302286","2012-04-13T01:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5307615","5302497","5302286","2012-04-13T02:37:05.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5307958","5302497","5302286","2012-04-13T03:37:05.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5308303","5302497","5302286","2012-04-13T04:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5308629","5302497","5302286","2012-04-13T05:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5308960","5302497","5302286","2012-04-13T06:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5309301","5302497","5302286","2012-04-13T07:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5309645","5302497","5302286","2012-04-13T08:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5309975","5302497","5302286","2012-04-13T09:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5310317","5302497","5302286","2012-04-13T10:37:05.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5310650","5302497","5302286","2012-04-13T11:37:04.000-04:00","Success","","search_output","Success"
"inca","ucsd-sierra","nimbus-clientStatus","5310979","5302497","5302286","2012-04-13T12:37:04.000-04:00","Success","","search_output","Success"
