resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-clientStatus","7640740","7640739","7640721","2013-03-26T13:30:46.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7640989","7640739","7640721","2013-03-26T14:06:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7641520","7640739","7640721","2013-03-26T15:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7641854","7640739","7640721","2013-03-26T16:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7642180","7640739","7640721","2013-03-26T17:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7642500","7640739","7640721","2013-03-26T18:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7642818","7640739","7640721","2013-03-26T19:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7643129","7640739","7640721","2013-03-26T20:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7643452","7640739","7640721","2013-03-26T21:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7643781","7640739","7640721","2013-03-26T22:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7644095","7640739","7640721","2013-03-26T23:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7644422","7640739","7640721","2013-03-27T00:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7644744","7640739","7640721","2013-03-27T01:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7645069","7640739","7640721","2013-03-27T02:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7645382","7640739","7640721","2013-03-27T03:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7645710","7640739","7640721","2013-03-27T04:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7646023","7640739","7640721","2013-03-27T05:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7646341","7640739","7640721","2013-03-27T06:18:03.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7646659","7640739","7640721","2013-03-27T07:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7646983","7640739","7640721","2013-03-27T08:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7647304","7640739","7640721","2013-03-27T09:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7647617","7640739","7640721","2013-03-27T10:18:01.000-04:00","Success","","search_output","Success"
