resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","eucalyptus-clientStatus","1484045","1484044","1483987","2010-10-28T13:17:25.000-04:00","Failure","Not all expressions found in output: "AVAILABILITYZONEs+india"","","Failure:errorMessage"
"iu-india","	","eucalyptus-clientStatus","1484072","1484071","1484061","2010-10-28T13:19:11.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1484136","1484071","1484061","2010-10-28T13:28:07.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1484842","1484071","1484061","2010-10-28T15:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1485196","1484071","1484061","2010-10-28T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1485549","1484071","1484061","2010-10-28T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1485901","1484071","1484061","2010-10-28T18:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1486251","1484071","1484061","2010-10-28T19:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1486606","1484071","1484061","2010-10-28T20:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1486962","1484071","1484061","2010-10-28T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1487319","1484071","1484061","2010-10-28T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1487667","1484071","1484061","2010-10-28T23:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1488024","1484071","1484061","2010-10-29T00:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1488381","1484071","1484061","2010-10-29T01:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1488742","1484071","1484061","2010-10-29T02:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1489104","1484071","1484061","2010-10-29T03:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1489459","1484071","1484061","2010-10-29T04:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1489812","1484071","1484061","2010-10-29T05:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1490164","1484071","1484061","2010-10-29T06:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1490521","1484071","1484061","2010-10-29T07:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1490889","1484071","1484061","2010-10-29T08:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1491254","1484071","1484061","2010-10-29T09:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1491615","1484071","1484061","2010-10-29T10:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1491973","1484071","1484061","2010-10-29T11:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1492284","1484071","1484061","2010-10-29T12:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1492652","1484071","1484061","2010-10-29T13:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1493011","1484071","1484061","2010-10-29T14:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1493350","1484071","1484061","2010-10-29T15:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1493703","1484071","1484061","2010-10-29T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1494063","1484071","1484061","2010-10-29T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1494414","1484071","1484061","2010-10-29T18:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1494768","1484071","1484061","2010-10-29T19:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1495118","1484071","1484061","2010-10-29T20:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1495472","1484071","1484061","2010-10-29T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1495839","1484071","1484061","2010-10-29T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1496198","1484071","1484061","2010-10-29T23:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1496554","1484071","1484061","2010-10-30T00:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1496911","1484071","1484061","2010-10-30T01:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1497271","1484071","1484061","2010-10-30T02:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1497635","1484071","1484061","2010-10-30T03:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1497998","1484071","1484061","2010-10-30T04:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1498356","1484071","1484061","2010-10-30T05:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1498707","1484071","1484061","2010-10-30T06:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1499059","1484071","1484061","2010-10-30T07:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1499429","1484071","1484061","2010-10-30T08:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1499798","1484071","1484061","2010-10-30T09:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1500165","1484071","1484061","2010-10-30T10:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1500529","1484071","1484061","2010-10-30T11:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1500881","1484071","1484061","2010-10-30T12:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1501252","1484071","1484061","2010-10-30T13:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1501614","1484071","1484061","2010-10-30T14:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1501978","1484071","1484061","2010-10-30T15:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1502333","1484071","1484061","2010-10-30T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1502686","1484071","1484061","2010-10-30T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1503044","1484071","1484061","2010-10-30T18:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1503409","1484071","1484061","2010-10-30T19:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1503764","1484071","1484061","2010-10-30T20:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1504120","1484071","1484061","2010-10-30T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1504482","1484071","1484061","2010-10-30T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1504835","1484071","1484061","2010-10-30T23:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1505202","1484071","1484061","2010-10-31T00:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1505564","1484071","1484061","2010-10-31T01:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1505928","1484071","1484061","2010-10-31T02:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1506290","1484071","1484061","2010-10-31T03:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1506644","1484071","1484061","2010-10-31T04:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1507005","1484071","1484061","2010-10-31T05:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1507365","1484071","1484061","2010-10-31T06:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1507721","1484071","1484061","2010-10-31T07:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1508099","1484071","1484061","2010-10-31T08:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1508455","1484071","1484061","2010-10-31T09:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1508819","1484071","1484061","2010-10-31T10:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1509186","1484071","1484061","2010-10-31T11:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1509544","1484071","1484061","2010-10-31T12:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1509914","1484071","1484061","2010-10-31T13:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1510276","1484071","1484061","2010-10-31T14:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1510639","1484071","1484061","2010-10-31T15:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1510997","1484071","1484061","2010-10-31T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1511355","1484071","1484061","2010-10-31T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1511713","1484071","1484061","2010-10-31T18:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1512072","1484071","1484061","2010-10-31T19:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1512429","1484071","1484061","2010-10-31T20:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1512789","1484071","1484061","2010-10-31T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1513153","1484071","1484061","2010-10-31T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1513512","1484071","1484061","2010-10-31T23:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1513873","1484071","1484061","2010-11-01T00:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1514233","1484071","1484061","2010-11-01T01:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1514598","1484071","1484061","2010-11-01T02:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1514963","1484071","1484061","2010-11-01T03:28:01.000-04:00","Success","","search_output","Success"
