resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"iu-india","	","eucalyptus-create-publicvm","3111389","3111387","3111094","2011-04-21T21:40:02.000-04:00","Success","Command 'euca-run-instances  -k userkey -n 1 emi-38FD1610 -t c1.medium' failed: FinishedVerify: Not enough resources available: addresses (try --addressing private)Not enough resources available: addresses (try --addressing private)
    ","","Success"
"iu-india","	","eucalyptus-create-publicvm","3117312","3111387","3111094","2011-04-22T21:40:02.000-04:00","Success","Command 'euca-run-instances  -k userkey -n 1 emi-38FD1610 -t c1.medium' failed: FinishedVerify: Not enough resources available: addresses (try --addressing private)Not enough resources available: addresses (try --addressing private)
    ","","Success"
"iu-india","	","eucalyptus-create-publicvm","3123242","3111387","3111094","2011-04-23T21:40:01.000-04:00","Success","Command 'euca-run-instances  -k userkey -n 1 emi-38FD1610 -t c1.medium' failed: FinishedVerify: Not enough resources available: addresses (try --addressing private)Not enough resources available: addresses (try --addressing private)
    ","","Success"
"iu-india","	","eucalyptus-create-publicvm","3129202","3111387","3111094","2011-04-24T21:40:02.000-04:00","Success","Command 'euca-run-instances  -k userkey -n 1 emi-38FD1610 -t c1.medium' failed: FinishedVerify: Not enough resources available: addresses (try --addressing private)Not enough resources available: addresses (try --addressing private)
    ","","Success"
"iu-india","	","eucalyptus-create-publicvm","3135201","3135200","3111094","2011-04-25T21:46:10.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 302.461652 s ping 0.020089 s ssh 5.470501 s destroy 0.163475 s","Success"
"iu-india","	","eucalyptus-create-publicvm","3140322","3140321","3140193","2011-04-26T18:11:24.000-04:00","Failure","cloud client not in running status after 900 seconds: RESERVATION	r-4F170889	inca	default
INSTANCE	i-3FD908A3	emi-38FD1610	149.165.146.194	10.0.9.67	terminated 	userkey 	0 	c1.medium 	2011-04-26T21:56:19.145Z 	india 	eki-78EF12D2 	eri-5BB61255
    ","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","eucalyptus-create-publicvm","3142063","3142062","3140366","2011-04-27T01:07:34.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 272.254037 s ping 0.012532 s ssh 0.171991 s destroy 0.154619 s","Success"
"iu-india","	","eucalyptus-create-publicvm","3147943","3147942","3140366","2011-04-28T01:08:09.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 302.335925 s ping 0.002925 s ssh 5.153525 s destroy 0.160026 s","Success"
"iu-india","	","eucalyptus-create-publicvm","3155579","3155578","3140366","2011-04-29T08:16:07.000-04:00","Failure","cloud client not in running status after 900 seconds: RESERVATION	r-4BD80898	inca	default
INSTANCE	i-2FB2070E	emi-38FD1610	149.165.146.180	10.0.9.67	terminated 	userkey 	0 	c1.medium 	2011-04-29T12:01:02.044Z 	india 	eki-78EF12D2 	eri-5BB61255
    ","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","eucalyptus-create-publicvm","3161117","3161116","3140366","2011-04-30T08:07:41.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 333.289038 s ping 0.012637 s ssh 0.532117 s destroy 0.159064 s","Success"
