resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"ucsd-sierra","	","eucalyptus-create-publicvm","3111147","3111146","3111090","2011-04-21T20:43:14.000-04:00","Success","","cloud-create cloudcreate img emi-FF7D1540 -t c1.medium create 273.150882 s ping 0.002801 s ssh 0.248564 s destroy 0.21607 s","Success"
"ucsd-sierra","	","eucalyptus-create-publicvm","3115536","3115535","3111090","2011-04-22T14:30:06.000-04:00","Success","","cloud-create cloudcreate img emi-FF7D1540 -t c1.medium create 303.315796 s ping 0.002951 s ssh 0.408437 s destroy 0.265903 s","Success"
"ucsd-sierra","	","eucalyptus-create-publicvm","3121475","3121474","3111090","2011-04-23T14:30:06.000-04:00","Success","","cloud-create cloudcreate img emi-FF7D1540 -t c1.medium create 303.309375 s ping 0.003604 s ssh 0.419789 s destroy 0.274593 s","Success"
"ucsd-sierra","	","eucalyptus-create-publicvm","3127408","3127407","3111090","2011-04-24T14:30:37.000-04:00","Success","","cloud-create cloudcreate img emi-FF7D1540 -t c1.medium create 333.50877 s ping 0.003477 s ssh 0.554831 s destroy 0.309799 s","Success"
"ucsd-sierra","	","eucalyptus-create-publicvm","3133401","3133400","3111090","2011-04-25T14:31:06.000-04:00","Success","","cloud-create cloudcreate img emi-FF7D1540 -t c1.medium create 363.642126 s ping 0.003899 s ssh 0.66855 s destroy 0.278699 s","Success"
"ucsd-sierra","	","eucalyptus-create-publicvm","3139365","3139364","3111090","2011-04-26T14:30:36.000-04:00","Success","","cloud-create cloudcreate img emi-FF7D1540 -t c1.medium create 333.609648 s ping 0.004289 s ssh 0.335725 s destroy 0.293541 s","Success"
"ucsd-sierra","	","eucalyptus-create-publicvm","3140279","3140278","3140189","2011-04-26T18:03:23.000-04:00","Failure","Error shutting down: instance id(s) must be specified.

Stops specified instances.

euca-terminate-instances [-h, --help] [--version] [--debug]
[instance1... instanceN] 

REQUIRED PARAMETERS

instance1... instanceN		instances to terminate. 

OPTIONAL PARAMETERS



-a, --access-key		User's Access Key ID.

-s, --secret-key		User's Secret Key.

-U, --url			URL of the Cloud to connect to.

--config			Read credentials and cloud settings from the 
				specified config file (defaults to $HOME/.eucarc or /etc/euca2ools/eucarc).

-h, --help			Display this help message.

--version 			Display the version of this tool.

--debug 			Turn on debugging.

Euca2ools will use the environment variables EC2_URL, EC2_ACCESS_KEY, EC2_SECRET_KEY, EC2_CERT, EC2_PRIVATE_KEY, S3_URL, EUCALYPTUS_CERT by default.
    
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3144465","3144464","3140368","2011-04-27T10:52:31.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 198.202.120.187 (198.202.120.187) 56(84) bytes of data.
From 198.202.120.7 icmp_seq=1 Destination Host Unreachable

--- 198.202.120.187 ping statistics ---
1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3146286","3146285","3140368","2011-04-27T18:16:37.000-04:00","Failure","cloud client not in running status after 900 seconds: RESERVATION	r-3AD9082E	inca	default
INSTANCE	i-4CC008FD	emi-FF7D1540	198.202.120.187	10.0.5.3	terminated 	userkey 	0 	c1.medium 	2011-04-27T22:04:30.664Z 	sierra 	eki-847612FB 	eri-6743128E
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3150329","3144464","3140368","2011-04-28T10:52:31.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 198.202.120.187 (198.202.120.187) 56(84) bytes of data.
From 198.202.120.7 icmp_seq=1 Destination Host Unreachable

--- 198.202.120.187 ping statistics ---
1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3150971","3150970","3140368","2011-04-28T13:26:39.000-04:00","Failure","cloud client not in running status after 900 seconds: RESERVATION	r-341605F8	inca	default
INSTANCE	i-42100637	emi-FF7D1540	198.202.120.187	10.0.5.3	terminated 	userkey 	0 	c1.medium 	2011-04-28T17:13:32.681Z 	sierra 	eki-847612FB 	eri-6743128E
    ","","Failure:errorMessage errorMessage errorMessage"
