resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","eucalyptus-storage","1588970","1588969","1588960","2010-11-10T19:19:59.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1589175","1588969","1588960","2010-11-10T19:54:01.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1589543","1588969","1588960","2010-11-10T20:54:01.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1589917","1588969","1588960","2010-11-10T21:54:01.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1590228","1590227","1590219","2010-11-10T22:41:11.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1590360","1590227","1590219","2010-11-10T23:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1590739","1590227","1590219","2010-11-11T00:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1591116","1590227","1590219","2010-11-11T01:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1591486","1590227","1590219","2010-11-11T02:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1591851","1590227","1590219","2010-11-11T03:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1592214","1590227","1590219","2010-11-11T04:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1592580","1590227","1590219","2010-11-11T05:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1592952","1590227","1590219","2010-11-11T06:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1593329","1590227","1590219","2010-11-11T07:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1593717","1590227","1590219","2010-11-11T08:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1594094","1590227","1590219","2010-11-11T09:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1594485","1590227","1590219","2010-11-11T10:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1594872","1590227","1590219","2010-11-11T11:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1595247","1590227","1590219","2010-11-11T12:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1595624","1590227","1590219","2010-11-11T13:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1596010","1590227","1590219","2010-11-11T14:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1596389","1590227","1590219","2010-11-11T15:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1596764","1590227","1590219","2010-11-11T16:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1597138","1590227","1590219","2010-11-11T17:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1597514","1590227","1590219","2010-11-11T18:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1597893","1590227","1590219","2010-11-11T19:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1598269","1590227","1590219","2010-11-11T20:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1598645","1590227","1590219","2010-11-11T21:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1599022","1590227","1590219","2010-11-11T22:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1599398","1590227","1590219","2010-11-11T23:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1599777","1590227","1590219","2010-11-12T00:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1600154","1590227","1590219","2010-11-12T01:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1600530","1590227","1590219","2010-11-12T02:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1600908","1590227","1590219","2010-11-12T03:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1601286","1590227","1590219","2010-11-12T04:02:03.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1601661","1590227","1590219","2010-11-12T05:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
