resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"ucsd-sierra","	","eucalyptus-storage","1588964","1588963","1588958","2010-11-10T19:19:56.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"ucsd-sierra","	","eucalyptus-storage","1589084","1588963","1588958","2010-11-10T19:38:01.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"ucsd-sierra","	","eucalyptus-storage","1589443","1588963","1588958","2010-11-10T20:38:01.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"ucsd-sierra","	","eucalyptus-storage","1589818","1588963","1588958","2010-11-10T21:38:02.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"ucsd-sierra","	","eucalyptus-storage","1590193","1588963","1588958","2010-11-10T22:38:02.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"ucsd-sierra","	","eucalyptus-storage","1590297","1590296","1590221","2010-11-10T22:52:18.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1590414","1590296","1590221","2010-11-10T23:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1590793","1590296","1590221","2010-11-11T00:10:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1591170","1590296","1590221","2010-11-11T01:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1591539","1590296","1590221","2010-11-11T02:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1591903","1590296","1590221","2010-11-11T03:10:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1592267","1590296","1590221","2010-11-11T04:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1592633","1590296","1590221","2010-11-11T05:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1593005","1590296","1590221","2010-11-11T06:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1593382","1590296","1590221","2010-11-11T07:10:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1593771","1590296","1590221","2010-11-11T08:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1594148","1590296","1590221","2010-11-11T09:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1594539","1590296","1590221","2010-11-11T10:10:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1594926","1590296","1590221","2010-11-11T11:10:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","1595301","1590296","1590221","2010-11-11T12:10:01.000-05:00","Success","","search_output","Success"
