resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"inca","tacc-alamo","nimbus-storage","5302645","5302644","5302294","2012-04-12T12:02:15.000-04:00","Failure","DOWNTIME:1475: System call for "/home/inca/nimbus-cloud-client-021/bin/cloud-client.sh --conf /home/inca/nimbus-cloud-client-021/conf/alamo.conf  --list" failed: Interrupted system call ","","Failure:errorMessage errorMessage errorMessage errorMessage"
"inca","tacc-alamo","nimbus-storage","5302992","5302644","5302294","2012-04-12T13:02:16.000-04:00","Failure","DOWNTIME:1475: System call for "/home/inca/nimbus-cloud-client-021/bin/cloud-client.sh --conf /home/inca/nimbus-cloud-client-021/conf/alamo.conf  --list" failed: Interrupted system call ","","Failure:errorMessage errorMessage errorMessage errorMessage"
"inca","tacc-alamo","nimbus-storage","5303327","5302644","5302294","2012-04-12T14:02:16.000-04:00","Failure","DOWNTIME:1475: System call for "/home/inca/nimbus-cloud-client-021/bin/cloud-client.sh --conf /home/inca/nimbus-cloud-client-021/conf/alamo.conf  --list" failed: Interrupted system call ","","Failure:errorMessage errorMessage errorMessage errorMessage"
"inca","tacc-alamo","nimbus-storage","5303663","5302644","5302294","2012-04-12T15:02:16.000-04:00","Failure","DOWNTIME:1475: System call for "/home/inca/nimbus-cloud-client-021/bin/cloud-client.sh --conf /home/inca/nimbus-cloud-client-021/conf/alamo.conf  --list" failed: Interrupted system call ","","Failure:errorMessage errorMessage errorMessage errorMessage"
"inca","tacc-alamo","nimbus-storage","5304013","5302644","5302294","2012-04-12T16:02:16.000-04:00","Failure","DOWNTIME:1475: System call for "/home/inca/nimbus-cloud-client-021/bin/cloud-client.sh --conf /home/inca/nimbus-cloud-client-021/conf/alamo.conf  --list" failed: Interrupted system call ","","Failure:errorMessage errorMessage errorMessage errorMessage"
"inca","tacc-alamo","nimbus-storage","5304359","5302644","5302294","2012-04-12T17:02:16.000-04:00","Failure","DOWNTIME:1475: System call for "/home/inca/nimbus-cloud-client-021/bin/cloud-client.sh --conf /home/inca/nimbus-cloud-client-021/conf/alamo.conf  --list" failed: Interrupted system call ","","Failure:errorMessage errorMessage errorMessage errorMessage"
"inca","tacc-alamo","nimbus-storage","5306363","5306362","5302294","2012-04-12T22:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5306693","5306362","5302294","2012-04-12T23:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5307034","5306362","5302294","2012-04-13T00:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5307380","5306362","5302294","2012-04-13T01:56:03.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5307721","5306362","5302294","2012-04-13T02:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5308070","5306362","5302294","2012-04-13T03:56:04.000-04:00","Success","","search_output","Success"
