resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"inca","uc-hotel","nimbus-storage","5302654","5302653","5302298","2012-04-12T12:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5302995","5302653","5302298","2012-04-12T13:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5303331","5302653","5302298","2012-04-12T14:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5303666","5302653","5302298","2012-04-12T15:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5304017","5302653","5302298","2012-04-12T16:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5304362","5302653","5302298","2012-04-12T17:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5304690","5302653","5302298","2012-04-12T18:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5305036","5302653","5302298","2012-04-12T19:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5305369","5302653","5302298","2012-04-12T20:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5305707","5302653","5302298","2012-04-12T21:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5306048","5302653","5302298","2012-04-12T22:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5306392","5302653","5302298","2012-04-12T23:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5306739","5302653","5302298","2012-04-13T00:05:33.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5307063","5302653","5302298","2012-04-13T01:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5307412","5302653","5302298","2012-04-13T02:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5307748","5302653","5302298","2012-04-13T03:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5308102","5302653","5302298","2012-04-13T04:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5308442","5302653","5302298","2012-04-13T05:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5308766","5302653","5302298","2012-04-13T06:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5309097","5302653","5302298","2012-04-13T07:03:04.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5309443","5302653","5302298","2012-04-13T08:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5309783","5302653","5302298","2012-04-13T09:03:04.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5310116","5302653","5302298","2012-04-13T10:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5310457","5302653","5302298","2012-04-13T11:03:03.000-04:00","Success","","search_output","Success"
"inca","uc-hotel","nimbus-storage","5310787","5302653","5302298","2012-04-13T12:03:03.000-04:00","Success","","search_output","Success"
