resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","openstack-create-publicvm","4198523","4198522","4198512","2011-10-14T18:15:54.000-04:00","Failure","Command 'sh nova novakey ami-00000028' failed with exit code 127","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4198549","4198548","4198537","2011-10-14T18:19:28.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.128874 s ping 30.003475 s ssh 30.182898 s destroy 0.355228 s","Success"
"iu-india","	","openstack-create-publicvm","4198627","4198626","4198579","2011-10-14T18:26:19.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 95.813796 s ping 30.003806 s ssh 30.189927 s destroy 0.414111 s","Success"
"iu-india","	","openstack-create-publicvm","4198748","4198747","4198579","2011-10-14T18:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.680689 s ping 30.003716 s ssh 30.215917 s destroy 0.365977 s","Success"
"iu-india","	","openstack-create-publicvm","4199600","4199599","4198579","2011-10-14T21:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.655872 s ping 30.003723 s ssh 30.229285 s destroy 0.352979 s","Success"
"iu-india","	","openstack-create-publicvm","4200435","4200433","4198579","2011-10-15T00:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.617328 s ping 30.003907 s ssh 30.419714 s destroy 0.364311 s","Success"
"iu-india","	","openstack-create-publicvm","4201259","4201258","4198579","2011-10-15T03:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.694775 s ping 30.00422 s ssh 30.172901 s destroy 0.359693 s","Success"
"iu-india","	","openstack-create-publicvm","4202082","4202081","4198579","2011-10-15T06:45:37.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 96.115007 s ping 30.003757 s ssh 30.328959 s destroy 0.349398 s","Success"
"iu-india","	","openstack-create-publicvm","4202901","4202897","4198579","2011-10-15T09:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.594169 s ping 30.003633 s ssh 30.180969 s destroy 0.361721 s","Success"
"iu-india","	","openstack-create-publicvm","4203745","4203744","4198579","2011-10-15T12:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.585353 s ping 30.003447 s ssh 30.201706 s destroy 0.361631 s","Success"
"iu-india","	","openstack-create-publicvm","4204567","4204566","4198579","2011-10-15T15:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.758398 s ping 30.00407 s ssh 30.180919 s destroy 0.359742 s","Success"
"iu-india","	","openstack-create-publicvm","4205395","4205394","4198579","2011-10-15T18:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.639726 s ping 30.003896 s ssh 30.192881 s destroy 0.34846 s","Success"
"iu-india","	","openstack-create-publicvm","4206227","4206226","4198579","2011-10-15T21:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.766927 s ping 30.005452 s ssh 30.181795 s destroy 0.409909 s","Success"
"iu-india","	","openstack-create-publicvm","4207059","4207058","4198579","2011-10-16T00:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.694872 s ping 30.019038 s ssh 30.242813 s destroy 0.361782 s","Success"
"iu-india","	","openstack-create-publicvm","4207888","4207887","4198579","2011-10-16T03:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.701678 s ping 30.004042 s ssh 30.284307 s destroy 0.36181 s","Success"
"iu-india","	","openstack-create-publicvm","4208709","4208708","4198579","2011-10-16T06:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.645236 s ping 30.004359 s ssh 30.232593 s destroy 0.364447 s","Success"
"iu-india","	","openstack-create-publicvm","4209535","4209534","4198579","2011-10-16T09:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.738711 s ping 30.005101 s ssh 30.191672 s destroy 0.356759 s","Success"
"iu-india","	","openstack-create-publicvm","4210376","4210375","4198579","2011-10-16T12:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.667501 s ping 30.003039 s ssh 30.340003 s destroy 0.507633 s","Success"
"iu-india","	","openstack-create-publicvm","4211198","4211197","4198579","2011-10-16T15:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.761225 s ping 30.003826 s ssh 30.230795 s destroy 0.364905 s","Success"
"iu-india","	","openstack-create-publicvm","4212027","4212026","4198579","2011-10-16T18:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.597979 s ping 30.004752 s ssh 30.188002 s destroy 0.36044 s","Success"
"iu-india","	","openstack-create-publicvm","4212851","4212850","4198579","2011-10-16T21:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.713883 s ping 30.003794 s ssh 30.189741 s destroy 0.432408 s","Success""iu-india","	","openstack-create-publicvm","4213689","4213684","4198579","2011-10-17T00:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.851589 s ping 30.010161 s ssh 30.33573 s destroy 0.436832 s","Success"
"iu-india","	","openstack-create-publicvm","4214503","4214499","4198579","2011-10-17T03:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.612887 s ping 30.003405 s ssh 30.242715 s destroy 0.365901 s","Success"
"iu-india","	","openstack-create-publicvm","4215326","4215325","4198579","2011-10-17T06:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.659984 s ping 30.004122 s ssh 30.193037 s destroy 0.359946 s","Success"
"iu-india","	","openstack-create-publicvm","4216148","4216147","4198579","2011-10-17T09:45:07.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.574213 s ping 30.004085 s ssh 30.170842 s destroy 0.363879 s","Success"
