resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-storage","7640747","7640746","7640725","2013-03-26T13:31:24.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7640915","7640746","7640725","2013-03-26T13:51:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7641549","7640746","7640725","2013-03-26T15:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7641879","7640746","7640725","2013-03-26T16:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7642205","7640746","7640725","2013-03-26T17:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7642524","7640746","7640725","2013-03-26T18:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7642843","7640746","7640725","2013-03-26T19:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7643153","7640746","7640725","2013-03-26T20:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7643478","7640746","7640725","2013-03-26T21:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7643806","7640746","7640725","2013-03-26T22:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7644122","7640746","7640725","2013-03-26T23:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7644447","7640746","7640725","2013-03-27T00:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7644773","7640746","7640725","2013-03-27T01:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7645092","7640746","7640725","2013-03-27T02:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7645410","7640746","7640725","2013-03-27T03:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7645733","7640746","7640725","2013-03-27T04:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7646048","7640746","7640725","2013-03-27T05:22:02.000-04:00","Success","","search_output","Success"
