resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","test_batch_job","1665309","1665306","1665240","2010-11-19T01:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665324","1665323","1665240","2010-11-19T01:24:12.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1665352","1665306","1665240","2010-11-19T01:27:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665359","1665306","1665240","2010-11-19T01:28:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665472","1665323","1665240","2010-11-19T01:42:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1665480","1665323","1665240","2010-11-19T01:43:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1665552","1665323","1665240","2010-11-19T01:53:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1665579","1665306","1665240","2010-11-19T01:57:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665584","1665306","1665240","2010-11-19T01:58:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665648","1665306","1665240","2010-11-19T02:08:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665682","1665306","1665240","2010-11-19T02:12:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665690","1665323","1665240","2010-11-19T02:13:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1665766","1665323","1665240","2010-11-19T02:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1665796","1665306","1665240","2010-11-19T02:27:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665800","1665323","1665240","2010-11-19T02:28:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1665876","1665306","1665240","2010-11-19T02:38:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665909","1665306","1665240","2010-11-19T02:42:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1665917","1665323","1665240","2010-11-19T02:43:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1665987","1665323","1665240","2010-11-19T02:53:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666005","1665306","1665240","2010-11-19T02:57:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666010","1665306","1665240","2010-11-19T02:58:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666076","1665323","1665240","2010-11-19T03:08:02.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666102","1665323","1665240","2010-11-19T03:12:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666110","1665323","1665240","2010-11-19T03:13:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666176","1665323","1665240","2010-11-19T03:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666204","1665323","1665240","2010-11-19T03:27:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666209","1665323","1665240","2010-11-19T03:28:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666278","1665323","1665240","2010-11-19T03:38:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666312","1665323","1665240","2010-11-19T03:42:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666321","1665306","1665240","2010-11-19T03:43:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666391","1665323","1665240","2010-11-19T03:53:02.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666415","1665323","1665240","2010-11-19T03:57:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666420","1665323","1665240","2010-11-19T03:58:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666491","1665323","1665240","2010-11-19T04:08:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666522","1665323","1665240","2010-11-19T04:12:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666529","1665323","1665240","2010-11-19T04:13:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666598","1665306","1665240","2010-11-19T04:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666626","1665323","1665240","2010-11-19T04:27:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666631","1665323","1665240","2010-11-19T04:28:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666704","1665323","1665240","2010-11-19T04:38:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666738","1665306","1665240","2010-11-19T04:42:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666746","1665323","1665240","2010-11-19T04:43:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666819","1665323","1665240","2010-11-19T04:53:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666845","1665306","1665240","2010-11-19T04:57:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666850","1665323","1665240","2010-11-19T04:58:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666922","1665323","1665240","2010-11-19T05:08:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666956","1665323","1665240","2010-11-19T05:12:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666964","1665323","1665240","2010-11-19T05:13:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
