resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-xray","	","test_batch_job","1665328","1665327","1665242","2010-11-19T01:24:13.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1665334","1665333","1665242","2010-11-19T01:25:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665346","1665327","1665242","2010-11-19T01:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1665453","1665333","1665242","2010-11-19T01:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665464","1665333","1665242","2010-11-19T01:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665562","1665333","1665242","2010-11-19T01:55:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665573","1665333","1665242","2010-11-19T01:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665662","1665327","1665242","2010-11-19T02:10:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1665679","1665327","1665242","2010-11-19T02:11:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1665778","1665333","1665242","2010-11-19T02:25:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665787","1665333","1665242","2010-11-19T02:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665890","1665333","1665242","2010-11-19T02:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665899","1665333","1665242","2010-11-19T02:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665994","1665333","1665242","2010-11-19T02:55:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1665999","1665333","1665242","2010-11-19T02:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1666087","1665327","1665242","2010-11-19T03:10:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1666094","1665327","1665242","2010-11-19T03:11:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1666189","1665333","1665242","2010-11-19T03:25:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1666198","1665333","1665242","2010-11-19T03:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1666293","1665333","1665242","2010-11-19T03:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1666311","1665327","1665242","2010-11-19T03:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1666400","1665327","1665242","2010-11-19T03:55:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1666409","1665333","1665242","2010-11-19T03:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
