resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"ucsd-sierra","	","test_batch_job","1665305","1665302","1665236","2010-11-19T01:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665332","1665302","1665236","2010-11-19T01:24:12.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665520","1665302","1665236","2010-11-19T01:49:02.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665536","1665302","1665236","2010-11-19T01:51:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665628","1665302","1665236","2010-11-19T02:04:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665735","1665734","1665236","2010-11-19T02:19:02.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665748","1665302","1665236","2010-11-19T02:21:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665767","1665734","1665236","2010-11-19T02:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665853","1665734","1665236","2010-11-19T02:34:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665877","1665734","1665236","2010-11-19T02:38:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665955","1665734","1665236","2010-11-19T02:49:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1665988","1665734","1665236","2010-11-19T02:53:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1666066","1665734","1665236","2010-11-19T03:06:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1666075","1665302","1665236","2010-11-19T03:08:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1666160","1665734","1665236","2010-11-19T03:21:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1666178","1665302","1665236","2010-11-19T03:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1666254","1665734","1665236","2010-11-19T03:34:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1666267","1665302","1665236","2010-11-19T03:36:02.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
